# 2026-09-25T11:44:16+08:00 run mc-track-ss27-s101: mc.py  --env CORNER=mos_ss --env TEMP=27 --env NS=100 --env N0=101 --env JOBS=1 --env VLO=0.3 --env VBAR=0 --env SCAN=0.20:0.65:0.025   (commit 530b0ea)
mc: mos_ss_mismatch 27C VLO=0.3 VBAR=0.0 sense 10.0 ns, seeds 101..200, scan [0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65], TSTOP 50m
seed   166 vw1 0.6101 vw0 0.1536 L1 0.4159 H0 0.3801 t1 1.8204e-02 t0 inf life 1.8204e-02 t0park inf lifepark 1.8204e-02  rbl 1.175 1.160 1.136 1.099 1.045 0.968 0.864 0.731 0.581 0.454 0.355 0.271 0.194 0.122 0.056 0.013 0.001 0.000 0.000
seed   167 vw1 0.6169 vw0 0.1559 L1 0.3602 H0 0.3257 t1 2.6688e-02 t0 inf life 2.6688e-02 t0park inf lifepark 2.6688e-02  rbl 1.125 1.084 1.026 0.946 0.839 0.704 0.552 0.424 0.324 0.239 0.161 0.088 0.029 0.004 0.000 0.000 0.000 0.000 0.000
seed   168 vw1 0.6498 vw0 0.1718 L1 0.4396 H0 0.4058 t1 1.5999e-02 t0 inf life 1.5999e-02 t0park inf lifepark 1.5999e-02  rbl 1.187 1.178 1.164 1.141 1.105 1.051 0.973 0.867 0.735 0.583 0.441 0.334 0.245 0.165 0.091 0.031 0.005 0.000 0.000
seed   169 vw1 0.5714 vw0 0.1359 L1 0.4474 H0 0.415 t1 1.1572e-02 t0 inf life 1.1572e-02 t0park inf lifepark 1.1572e-02  rbl 1.190 1.183 1.171 1.152 1.122 1.075 1.006 0.910 0.788 0.642 0.483 0.358 0.260 0.176 0.099 0.036 0.006 0.000 0.000
seed   170 vw1 0.6127 vw0 0.1513 L1 0.4107 H0 0.3739 t1 1.8857e-02 t0 inf life 1.8857e-02 t0park inf lifepark 1.8857e-02  rbl 1.172 1.154 1.127 1.086 1.027 0.944 0.833 0.694 0.549 0.435 0.342 0.261 0.186 0.114 0.049 0.010 0.001 0.000 0.000
seed   171 vw1 0.6101 vw0 0.1522 L1 0.4097 H0 0.3767 t1 1.8824e-02 t0 inf life 1.8824e-02 t0park inf lifepark 1.8824e-02  rbl 1.175 1.159 1.133 1.094 1.036 0.954 0.845 0.711 0.554 0.415 0.310 0.222 0.143 0.071 0.019 0.002 0.000 0.000 0.000
seed   172 vw1 0.6078 vw0 0.1532 L1 0.4206 H0 0.3871 t1 1.6904e-02 t0 inf life 1.6904e-02 t0park inf lifepark 1.6904e-02  rbl 1.180 1.167 1.146 1.113 1.064 0.994 0.896 0.772 0.624 0.474 0.359 0.266 0.185 0.110 0.044 0.008 0.001 0.000 0.000
seed   173 vw1 0.5914 vw0 0.1392 L1 0.4045 H0 0.3711 t1 1.8495e-02 t0 inf life 1.8495e-02 t0park inf lifepark 1.8495e-02  rbl 1.172 1.154 1.125 1.083 1.021 0.934 0.819 0.678 0.523 0.397 0.299 0.215 0.138 0.067 0.017 0.002 0.000 0.000 0.000
seed   174 vw1 0.6696 vw0 0.1817 L1 0.3822 H0 0.3481 t1 2.4340e-02 t0 inf life 2.4340e-02 t0park inf lifepark 2.4340e-02  rbl 1.152 1.123 1.081 1.020 0.937 0.826 0.690 0.537 0.409 0.310 0.225 0.147 0.076 0.022 0.003 0.000 0.000 0.000 0.000
seed   175 vw1 0.6325 vw0 0.1628 L1 0.3785 H0 0.3451 t1 2.4864e-02 t0 inf life 2.4864e-02 t0park inf lifepark 2.4864e-02  rbl 1.151 1.121 1.077 1.015 0.929 0.814 0.672 0.517 0.394 0.297 0.214 0.137 0.067 0.018 0.002 0.000 0.000 0.000 0.000
seed   176 vw1 0.6119 vw0 0.1530 L1 0.4167 H0 0.3809 t1 1.8306e-02 t0 inf life 1.8306e-02 t0park inf lifepark 1.8306e-02  rbl 1.177 1.163 1.139 1.103 1.050 0.974 0.870 0.736 0.585 0.458 0.360 0.275 0.199 0.127 0.060 0.015 0.002 0.000 0.000
seed   177 vw1 0.6197 vw0 0.1547 L1 0.376 H0 0.342 t1 2.4882e-02 t0 inf life 2.4882e-02 t0park inf lifepark 2.4882e-02  rbl 1.147 1.116 1.070 1.005 0.916 0.798 0.654 0.505 0.388 0.295 0.213 0.137 0.068 0.018 0.002 0.000 0.000 0.000 0.000
seed   178 vw1 0.6404 vw0 0.1681 L1 0.3924 H0 0.3579 t1 2.2064e-02 t0 inf life 2.2064e-02 t0park inf lifepark 2.2064e-02  rbl 1.162 1.138 1.102 1.050 0.976 0.875 0.747 0.597 0.457 0.351 0.263 0.184 0.110 0.045 0.009 0.001 0.000 0.000 0.000
seed   179 vw1 0.5936 vw0 0.1408 L1 0.426 H0 0.3933 t1 1.5391e-02 t0 inf life 1.5391e-02 t0park inf lifepark 1.5391e-02  rbl 1.183 1.172 1.153 1.123 1.079 1.014 0.922 0.804 0.662 0.505 0.378 0.280 0.195 0.117 0.049 0.010 0.001 0.000 0.000
seed   180 vw1 0.6207 vw0 0.1564 L1 0.3685 H0 0.3345 t1 2.5859e-02 t0 inf life 2.5859e-02 t0park inf lifepark 2.5859e-02  rbl 1.139 1.104 1.053 0.981 0.884 0.757 0.606 0.462 0.354 0.264 0.185 0.111 0.045 0.009 0.001 0.000 0.000 0.000 0.000
