# 2026-09-25T11:44:16+08:00 run mc-track-ff85-s101: mc.py  --env CORNER=mos_ff --env TEMP=85 --env NS=100 --env N0=101 --env JOBS=1 --env VLO=0.3 --env VBAR=0.15 --env SCAN=0.20:0.65:0.025   (commit 530b0ea)
mc: mos_ff_mismatch 85C VLO=0.3 VBAR=0.15 sense 10.0 ns, seeds 101..200, scan [0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65], TSTOP 50m
seed   128 vw1 0.8284 vw0 0.1872 L1 0.4008 H0 0.3462 t1 1.0041e-03 t0 inf life 1.0041e-03 t0park inf lifepark 1.0041e-03  rbl 1.128 1.095 1.048 0.983 0.898 0.793 0.683 0.586 0.502 0.426 0.356 0.289 0.226 0.178 0.156 0.151 0.150 0.150 0.150
seed   129 vw1 0.8056 vw0 0.1891 L1 0.408 H0 0.3526 t1 1.0942e-03 t0 inf life 1.0942e-03 t0park inf lifepark 1.0942e-03  rbl 1.134 1.104 1.061 1.000 0.920 0.820 0.710 0.611 0.525 0.447 0.376 0.308 0.244 0.189 0.159 0.151 0.150 0.150 0.150
seed   130 vw1 0.8587 vw0 0.1899 L1 0.4081 H0 0.3491 t1 8.2258e-04 t0 inf life 8.2258e-04 t0park inf lifepark 8.2258e-04  rbl 1.128 1.095 1.049 0.985 0.901 0.800 0.696 0.605 0.524 0.450 0.380 0.314 0.250 0.195 0.162 0.152 0.150 0.150 0.150
seed   131 vw1 0.8291 vw0 0.1916 L1 0.4423 H0 0.3904 t1 8.5313e-04 t0 inf life 8.5313e-04 t0park inf lifepark 8.5313e-04  rbl 1.166 1.149 1.124 1.087 1.036 0.966 0.877 0.769 0.657 0.558 0.474 0.398 0.327 0.261 0.202 0.165 0.152 0.150 0.150
seed   132 vw1 0.7823 vw0 0.1864 L1 0.4067 H0 0.3512 t1 1.1605e-03 t0 inf life 1.1605e-03 t0park inf lifepark 1.1605e-03  rbl 1.133 1.102 1.058 0.996 0.915 0.815 0.705 0.606 0.521 0.444 0.373 0.305 0.241 0.188 0.159 0.151 0.150 0.150 0.150
seed   133 vw1 0.8917 vw0 0.1941 L1 0.4306 H0 0.3822 t1 5.6256e-04 t0 inf life 5.6256e-04 t0park inf lifepark 5.6256e-04  rbl 1.161 1.142 1.114 1.074 1.017 0.941 0.847 0.733 0.618 0.519 0.434 0.358 0.287 0.223 0.175 0.155 0.151 0.150 0.150
seed   134 vw1 0.8426 vw0 0.1901 L1 0.419 H0 0.3679 t1 8.7529e-04 t0 inf life 8.7529e-04 t0park inf lifepark 8.7529e-04  rbl 1.151 1.127 1.093 1.044 0.976 0.889 0.782 0.667 0.566 0.479 0.402 0.330 0.262 0.203 0.165 0.152 0.150 0.150 0.150
seed   135 vw1 0.7922 vw0 0.1944 L1 0.3872 H0 0.3345 t1 1.3017e-03 t0 inf life 1.3017e-03 t0park inf lifepark 1.3017e-03  rbl 1.112 1.073 1.018 0.944 0.851 0.741 0.633 0.540 0.458 0.384 0.314 0.248 0.193 0.161 0.152 0.150 0.150 0.150 0.150
seed   136 vw1 0.8955 vw0 0.1910 L1 0.3783 H0 0.3249 t1 5.7016e-04 t0 8.9842e-05 life 8.9842e-05 t0park inf lifepark 5.7016e-04  rbl 1.099 1.055 0.993 0.912 0.811 0.700 0.598 0.510 0.432 0.359 0.291 0.227 0.178 0.156 0.151 0.150 0.150 0.150 0.150
seed   137 vw1 0.8780 vw0 0.1962 L1 0.3942 H0 0.3433 t1 8.2115e-04 t0 inf life 8.2115e-04 t0park inf lifepark 8.2115e-04  rbl 1.126 1.093 1.044 0.978 0.891 0.785 0.669 0.567 0.480 0.402 0.331 0.264 0.204 0.165 0.152 0.150 0.150 0.150 0.150
seed   138 vw1 0.8658 vw0 0.1972 L1 0.3704 H0 0.3217 t1 9.5781e-04 t0 3.0355e-04 life 3.0355e-04 t0park inf lifepark 9.5781e-04  rbl 1.098 1.052 0.988 0.905 0.802 0.685 0.575 0.483 0.402 0.328 0.259 0.199 0.163 0.152 0.150 0.150 0.150 0.150 0.150
seed   139 vw1 0.8692 vw0 0.1952 L1 0.394 H0 0.3431 t1 8.4219e-04 t0 inf life 8.4219e-04 t0park inf lifepark 8.4219e-04  rbl 1.127 1.093 1.044 0.977 0.890 0.784 0.668 0.566 0.479 0.401 0.329 0.261 0.201 0.163 0.152 0.150 0.150 0.150 0.150
