# 2026-09-25T11:08:13+08:00 run mc-base-tt85: mc.py  --env CORNER=mos_tt --env TEMP=85 --env NS=200 --env N0=1 --env JOBS=2 --env TSTOP=5m --env SCAN=0.05:0.40:0.025   (commit 162c494)
mc: mos_tt_mismatch 85C VLO=0.0 VBAR=0.0 sense 10.0 ns, seeds 1..200, scan [0.05, 0.075, 0.1, 0.125, 0.15, 0.175, 0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4], TSTOP 5m
seed    81 vw1 0.8307 vw0 -0.0377 L1 0.2833 H0 0.2385 t1 2.0334e-06 t0 7.4969e-05 life 2.0334e-06  rbl 1.182 1.172 1.157 1.132 1.092 1.025 0.916 0.771 0.640 0.531 0.439 0.357 0.282 0.211 0.143
seed    82 vw1 0.7722 vw0 -0.0574 L1 0.2636 H0 0.221 t1 7.9668e-06 t0 1.9225e-04 life 7.9668e-06  rbl 1.168 1.152 1.126 1.085 1.021 0.925 0.807 0.680 0.556 0.453 0.366 0.287 0.214 0.145 0.081
seed    83 vw1 0.7741 vw0 -0.0562 L1 0.2969 H0 0.2528 t1 6.7987e-06 t0 4.8219e-04 life 6.7987e-06  rbl 1.187 1.181 1.170 1.152 1.124 1.077 0.996 0.865 0.714 0.589 0.487 0.400 0.321 0.248 0.178
seed    84 vw1 0.7793 vw0 -0.0550 L1 0.2684 H0 0.2251 t1 6.6932e-06 t0 1.8297e-04 life 6.6932e-06  rbl 1.173 1.158 1.136 1.099 1.041 0.949 0.829 0.701 0.577 0.472 0.384 0.304 0.230 0.160 0.094
seed    85 vw1 0.7540 vw0 -0.0663 L1 0.2665 H0 0.2224 t1 1.1385e-05 t0 3.0132e-04 life 1.1385e-05  rbl 1.173 1.159 1.136 1.100 1.041 0.947 0.819 0.686 0.566 0.466 0.380 0.301 0.229 0.159 0.093
seed    86 vw1 0.7411 vw0 -0.0717 L1 0.2797 H0 0.2359 t1 1.5869e-05 t0 7.7147e-04 life 1.5869e-05  rbl 1.179 1.169 1.152 1.124 1.080 1.007 0.892 0.756 0.627 0.517 0.425 0.343 0.267 0.196 0.128
seed    87 vw1 0.7702 vw0 -0.0600 L1 0.272 H0 0.2294 t1 7.7701e-06 t0 2.4148e-04 life 7.7701e-06  rbl 1.173 1.160 1.138 1.104 1.050 0.964 0.848 0.722 0.596 0.487 0.395 0.314 0.240 0.169 0.102
seed    88 vw1 0.7147 vw0 -0.0812 L1 0.2962 H0 0.2522 t1 2.5057e-05 t0 inf life 2.5057e-05  rbl 1.186 1.179 1.168 1.150 1.121 1.073 0.991 0.861 0.711 0.586 0.484 0.398 0.319 0.247 0.178
seed    89 vw1 0.7667 vw0 -0.0597 L1 0.2746 H0 0.2308 t1 8.7646e-06 t0 3.1428e-04 life 8.7646e-06  rbl 1.177 1.165 1.146 1.115 1.065 0.983 0.862 0.729 0.604 0.498 0.408 0.328 0.253 0.183 0.115
seed    90 vw1 0.7713 vw0 -0.0597 L1 0.2542 H0 0.2083 t1 7.2279e-06 t0 1.1091e-04 life 7.2279e-06  rbl 1.168 1.151 1.124 1.080 1.008 0.892 0.742 0.615 0.515 0.428 0.349 0.276 0.207 0.140 0.076
seed    91 vw1 0.7456 vw0 -0.0702 L1 0.303 H0 0.2635 t1 1.2637e-05 t0 inf life 1.2637e-05  rbl 1.185 1.178 1.166 1.147 1.117 1.068 0.990 0.886 0.770 0.640 0.513 0.408 0.320 0.241 0.168
seed    92 vw1 0.7472 vw0 -0.0703 L1 0.2642 H0 0.2196 t1 1.1680e-05 t0 2.7111e-04 life 1.1680e-05  rbl 1.172 1.158 1.135 1.098 1.039 0.942 0.807 0.670 0.555 0.459 0.375 0.298 0.226 0.158 0.093
seed    93 vw1 0.7583 vw0 -0.0640 L1 0.276 H0 0.2346 t1 1.1090e-05 t0 4.3824e-04 life 1.1090e-05  rbl 1.176 1.163 1.143 1.111 1.059 0.979 0.870 0.749 0.620 0.504 0.408 0.324 0.247 0.175 0.107
seed    94 vw1 0.7493 vw0 -0.0689 L1 0.2856 H0 0.2432 t1 1.0893e-05 t0 5.8009e-04 life 1.0893e-05  rbl 1.180 1.170 1.153 1.127 1.085 1.016 0.913 0.793 0.666 0.543 0.441 0.354 0.275 0.201 0.132
seed    95 vw1 0.7769 vw0 -0.0572 L1 0.2652 H0 0.2227 t1 6.6909e-06 t0 1.5755e-04 life 6.6909e-06  rbl 1.169 1.153 1.128 1.088 1.024 0.930 0.814 0.688 0.564 0.459 0.370 0.291 0.217 0.148 0.082
seed    96 vw1 0.7938 vw0 -0.0504 L1 0.2428 H0 0.1987 t1 5.3864e-06 t0 5.4381e-05 life 5.3864e-06  rbl 1.152 1.127 1.087 1.025 0.933 0.818 0.694 0.573 0.471 0.383 0.304 0.230 0.160 0.093 0.038
seed    97 vw1 0.8005 vw0 -0.0464 L1 0.2697 H0 0.2257 t1 4.8467e-06 t0 1.2307e-04 life 4.8467e-06  rbl 1.174 1.161 1.140 1.107 1.053 0.966 0.840 0.703 0.580 0.478 0.391 0.313 0.240 0.172 0.106
