# 2026-09-25T11:21:01+08:00 run mc-ls-ss27: mc.py  --env CORNER=mos_ss --env TEMP=27 --env NS=200 --env N0=1 --env JOBS=1 --env VLO=0.3 --env VBAR=0.1 --env SCAN=0.35:0.80:0.025   (commit 530b0ea)
mc: mos_ss_mismatch 27C VLO=0.3 VBAR=0.1 sense 10.0 ns, seeds 1..200, scan [0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65, 0.675, 0.7, 0.725, 0.75, 0.775, 0.8], TSTOP 50m
seed    35 vw1 0.6515 vw0 0.1788 L1 0.5959 H0 0.5609 t1 3.6461e-03 t0 inf life 3.6461e-03 t0park inf lifepark 3.6461e-03  rbl 1.195 1.189 1.178 1.160 1.129 1.077 0.993 0.887 0.764 0.618 0.477 0.369 0.280 0.202 0.137 0.106 0.101 0.100 0.100
seed    36 vw1 0.6715 vw0 0.1808 L1 0.5652 H0 0.5293 t1 7.0140e-03 t0 inf life 7.0140e-03 t0park inf lifepark 7.0140e-03  rbl 1.185 1.172 1.150 1.113 1.053 0.963 0.854 0.726 0.578 0.450 0.350 0.264 0.187 0.127 0.104 0.100 0.100 0.100 0.100
seed    37 vw1 0.6116 vw0 0.1528 L1 0.5697 H0 0.5366 t1 3.1636e-03 t0 inf life 3.1636e-03 t0park inf lifepark 3.1636e-03  rbl 1.189 1.177 1.157 1.123 1.066 0.987 0.889 0.768 0.622 0.467 0.346 0.250 0.168 0.116 0.102 0.100 0.100 0.100 0.100
seed    38 vw1 0.5973 vw0 0.1499 L1 0.5801 H0 0.5468 t1 1.2492e-03 t0 inf life 1.2492e-03 t0park inf lifepark 1.2492e-03  rbl 1.192 1.183 1.167 1.141 1.095 1.022 0.931 0.819 0.683 0.527 0.394 0.292 0.206 0.137 0.106 0.100 0.100 0.100 0.100
seed    39 vw1 0.6035 vw0 0.1506 L1 0.5326 H0 0.4979 t1 6.1283e-03 t0 inf life 6.1283e-03 t0park inf lifepark 6.1283e-03  rbl 1.164 1.137 1.093 1.024 0.933 0.823 0.689 0.538 0.412 0.313 0.228 0.154 0.111 0.101 0.100 0.100 0.100 0.100 0.100
seed    40 vw1 0.6205 vw0 0.1616 L1 0.5722 H0 0.5385 t1 3.6178e-03 t0 inf life 3.6178e-03 t0park inf lifepark 3.6178e-03  rbl 1.189 1.178 1.159 1.127 1.073 0.993 0.896 0.777 0.634 0.483 0.364 0.269 0.188 0.126 0.104 0.100 0.100 0.100 0.100
seed    41 vw1 0.5894 vw0 0.1453 L1 0.5447 H0 0.5102 t1 3.9315e-03 t0 inf life 3.9315e-03 t0park inf lifepark 3.9315e-03  rbl 1.174 1.153 1.119 1.064 0.983 0.882 0.759 0.613 0.470 0.359 0.268 0.188 0.127 0.104 0.100 0.100 0.100 0.100 0.100
seed    42 vw1 0.6466 vw0 0.1708 L1 0.536 H0 0.5013 t1 8.4193e-03 t0 inf life 8.4193e-03 t0park inf lifepark 8.4193e-03  rbl 1.169 1.145 1.105 1.041 0.951 0.841 0.708 0.557 0.428 0.329 0.243 0.168 0.117 0.102 0.100 0.100 0.100 0.100 0.100
seed    43 vw1 0.5758 vw0 0.1419 L1 0.5599 H0 0.5243 t1 1.3638e-03 t0 inf life 1.3638e-03 t0park inf lifepark 1.3638e-03  rbl 1.182 1.167 1.143 1.102 1.037 0.942 0.830 0.696 0.548 0.426 0.330 0.247 0.173 0.120 0.102 0.100 0.100 0.100 0.100
seed    44 vw1 0.6442 vw0 0.1661 L1 0.5243 H0 0.49 t1 9.5110e-03 t0 inf life 9.5110e-03 t0park inf lifepark 9.5110e-03  rbl 1.158 1.128 1.078 1.003 0.905 0.786 0.643 0.496 0.383 0.291 0.210 0.142 0.107 0.101 0.100 0.100 0.100 0.100 0.100
seed    45 vw1 0.6658 vw0 0.1791 L1 0.5848 H0 0.551 t1 5.0876e-03 t0 inf life 5.0876e-03 t0park inf lifepark 5.0876e-03  rbl 1.193 1.185 1.170 1.146 1.104 1.036 0.946 0.838 0.706 0.553 0.417 0.313 0.224 0.150 0.110 0.101 0.100 0.100 0.100
seed    46 vw1 0.6501 vw0 0.1758 L1 0.55 H0 0.5163 t1 7.3299e-03 t0 inf life 7.3299e-03 t0park inf lifepark 7.3299e-03  rbl 1.179 1.162 1.132 1.084 1.008 0.910 0.792 0.650 0.500 0.382 0.288 0.206 0.138 0.106 0.101 0.100 0.100 0.100 0.100
seed    47 vw1 0.6396 vw0 0.1672 L1 0.5484 H0 0.5155 t1 6.9182e-03 t0 inf life 6.9182e-03 t0park inf lifepark 6.9182e-03  rbl 1.179 1.161 1.130 1.079 1.003 0.907 0.789 0.646 0.490 0.367 0.271 0.188 0.126 0.104 0.100 0.100 0.100 0.100 0.100
seed    48 vw1 0.6072 vw0 0.1523 L1 0.5577 H0 0.5249 t1 3.9378e-03 t0 inf life 3.9378e-03 t0park inf lifepark 3.9378e-03  rbl 1.184 1.169 1.143 1.100 1.032 0.943 0.834 0.699 0.543 0.404 0.298 0.210 0.139 0.106 0.100 0.100 0.100 0.100 0.100
seed    49 vw1 0.5956 vw0 0.1502 L1 0.5644 H0 0.5301 t1 2.5556e-03 t0 inf life 2.5556e-03 t0park inf lifepark 2.5556e-03  rbl 1.186 1.173 1.152 1.116 1.055 0.967 0.861 0.731 0.579 0.442 0.337 0.250 0.173 0.119 0.102 0.100 0.100 0.100 0.100
seed    50 vw1 0.5944 vw0 0.1507 L1 0.5486 H0 0.5142 t1 4.0184e-03 t0 inf life 4.0184e-03 t0park inf lifepark 4.0184e-03  rbl 1.177 1.159 1.129 1.079 1.002 0.901 0.782 0.638 0.492 0.379 0.287 0.207 0.140 0.107 0.101 0.100 0.100 0.100 0.100
seed    51 vw1 0.7076 vw0 0.1945 L1 0.589 H0 0.5545 t1 6.7237e-03 t0 inf life 6.7237e-03 t0park inf lifepark 6.7237e-03  rbl 1.194 1.187 1.175 1.154 1.118 1.057 0.966 0.857 0.727 0.576 0.440 0.337 0.250 0.174 0.119 0.102 0.100 0.100 0.100
seed    52 vw1 0.6210 vw0 0.1575 L1 0.5552 H0 0.5207 t1 5.1114e-03 t0 inf life 5.1114e-03 t0park inf lifepark 5.1114e-03  rbl 1.181 1.165 1.138 1.093 1.022 0.928 0.814 0.677 0.525 0.403 0.306 0.222 0.150 0.110 0.101 0.100 0.100 0.100 0.100
seed    53 vw1 0.6242 vw0 0.1670 L1 0.5871 H0 0.5539 t1 2.6816e-03 t0 inf life 2.6816e-03 t0park inf lifepark 2.6816e-03  rbl 1.194 1.187 1.174 1.151 1.112 1.047 0.959 0.854 0.724 0.570 0.426 0.316 0.227 0.152 0.110 0.101 0.100 0.100 0.100
seed    54 vw1 0.6011 vw0 0.1526 L1 0.5693 H0 0.5338 t1 2.5180e-03 t0 inf life 2.5180e-03 t0park inf lifepark 2.5180e-03  rbl 1.187 1.175 1.156 1.124 1.071 0.986 0.878 0.752 0.605 0.469 0.365 0.279 0.201 0.136 0.106 0.100 0.100 0.100 0.100
seed    55 vw1 0.6275 vw0 0.1649 L1 0.5617 H0 0.5271 t1 5.0267e-03 t0 inf life 5.0267e-03 t0park inf lifepark 5.0267e-03  rbl 1.184 1.171 1.148 1.109 1.046 0.955 0.845 0.713 0.561 0.431 0.331 0.246 0.171 0.118 0.102 0.100 0.100 0.100 0.100
seed    56 vw1 0.6006 vw0 0.1510 L1 0.5548 H0 0.5189 t1 3.7854e-03 t0 inf life 3.7854e-03 t0park inf lifepark 3.7854e-03  rbl 1.180 1.163 1.135 1.090 1.018 0.920 0.804 0.666 0.522 0.407 0.315 0.232 0.160 0.114 0.101 0.100 0.100 0.100 0.100
seed    57 vw1 0.6319 vw0 0.1632 L1 0.5536 H0 0.5192 t1 5.8839e-03 t0 inf life 5.8839e-03 t0park inf lifepark 5.8839e-03  rbl 1.181 1.164 1.137 1.091 1.019 0.922 0.807 0.668 0.517 0.397 0.301 0.217 0.146 0.108 0.101 0.100 0.100 0.100 0.100
seed    58 vw1 0.6334 vw0 0.1680 L1 0.5428 H0 0.5061 t1 7.1762e-03 t0 inf life 7.1762e-03 t0park inf lifepark 7.1762e-03  rbl 1.172 1.151 1.116 1.059 0.974 0.864 0.736 0.589 0.464 0.366 0.282 0.205 0.140 0.107 0.101 0.100 0.100 0.100 0.100
seed    59 vw1 0.6374 vw0 0.1700 L1 0.555 H0 0.5214 t1 6.1489e-03 t0 inf life 6.1489e-03 t0park inf lifepark 6.1489e-03  rbl 1.181 1.164 1.137 1.091 1.019 0.928 0.816 0.680 0.526 0.395 0.293 0.208 0.138 0.106 0.101 0.100 0.100 0.100 0.100
seed    60 vw1 0.6501 vw0 0.1747 L1 0.5916 H0 0.5574 t1 3.8229e-03 t0 inf life 3.8229e-03 t0park inf lifepark 3.8229e-03  rbl 1.195 1.188 1.176 1.156 1.121 1.062 0.974 0.870 0.744 0.595 0.453 0.344 0.254 0.176 0.120 0.102 0.100 0.100 0.100
seed    61 vw1 0.6331 vw0 0.1627 L1 0.5229 H0 0.4894 t1 8.8261e-03 t0 inf life 8.8261e-03 t0park inf lifepark 8.8261e-03  rbl 1.158 1.126 1.074 0.999 0.902 0.783 0.639 0.487 0.368 0.273 0.191 0.128 0.104 0.100 0.100 0.100 0.100 0.100 0.100
seed    62 vw1 0.5850 vw0 0.1454 L1 0.5402 H0 0.5044 t1 4.1062e-03 t0 inf life 4.1062e-03 t0park inf lifepark 4.1062e-03  rbl 1.170 1.147 1.110 1.051 0.963 0.855 0.726 0.579 0.450 0.349 0.264 0.188 0.128 0.104 0.100 0.100 0.100 0.100 0.100
seed    63 vw1 0.6312 vw0 0.1654 L1 0.5618 H0 0.5283 t1 5.1438e-03 t0 inf life 5.1438e-03 t0park inf lifepark 5.1438e-03  rbl 1.185 1.171 1.146 1.106 1.040 0.955 0.850 0.720 0.568 0.424 0.315 0.225 0.150 0.110 0.101 0.100 0.100 0.100 0.100
seed    64 vw1 0.6385 vw0 0.1721 L1 0.5449 H0 0.5095 t1 7.3514e-03 t0 inf life 7.3514e-03 t0park inf lifepark 7.3514e-03  rbl 1.174 1.154 1.122 1.069 0.987 0.881 0.756 0.609 0.472 0.368 0.281 0.203 0.138 0.106 0.101 0.100 0.100 0.100 0.100
seed    65 vw1 0.6146 vw0 0.1593 L1 0.5682 H0 0.5343 t1 3.5813e-03 t0 inf life 3.5813e-03 t0park inf lifepark 3.5813e-03  rbl 1.188 1.176 1.156 1.122 1.066 0.982 0.880 0.755 0.606 0.460 0.348 0.257 0.178 0.121 0.103 0.100 0.100 0.100 0.100
seed    66 vw1 0.6451 vw0 0.1718 L1 0.5593 H0 0.5254 t1 6.2461e-03 t0 inf life 6.2461e-03 t0park inf lifepark 6.2461e-03  rbl 1.183 1.168 1.142 1.099 1.032 0.943 0.835 0.703 0.550 0.415 0.312 0.225 0.152 0.111 0.101 0.100 0.100 0.100 0.100
seed    67 vw1 0.5966 vw0 0.1492 L1 0.5567 H0 0.5225 t1 3.3175e-03 t0 inf life 3.3175e-03 t0park inf lifepark 3.3175e-03  rbl 1.182 1.167 1.141 1.098 1.029 0.935 0.823 0.686 0.534 0.408 0.309 0.225 0.152 0.110 0.101 0.100 0.100 0.100 0.100
