# 2026-09-25T11:19:00+08:00 run mc-ls-ff85: mc.py  --env CORNER=mos_ff --env TEMP=85 --env NS=200 --env N0=1 --env JOBS=1 --env VLO=0.3 --env VBAR=0.1 --env SCAN=0.15:0.60:0.025   (commit 530b0ea)
mc: mos_ff_mismatch 85C VLO=0.3 VBAR=0.1 sense 10.0 ns, seeds 1..200, scan [0.15, 0.175, 0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6], TSTOP 50m
seed    43 vw1 0.8063 vw0 0.1934 L1 0.3436 H0 0.2893 t1 1.4235e-03 t0 4.9327e-04 life 4.9327e-04 t0park inf lifepark 1.4235e-03  rbl 1.115 1.079 1.028 0.960 0.870 0.761 0.654 0.561 0.479 0.404 0.334 0.267 0.203 0.147 0.112 0.102 0.100 0.100 0.100
seed    44 vw1 0.8582 vw0 0.1901 L1 0.3088 H0 0.2562 t1 1.1150e-03 t0 2.3005e-05 life 2.3005e-05 t0park 5.9639e-05 lifepark 5.9639e-05  rbl 1.066 1.010 0.936 0.839 0.726 0.620 0.529 0.448 0.374 0.304 0.237 0.175 0.127 0.105 0.101 0.100 0.100 0.100 0.100
seed    45 vw1 0.8849 vw0 0.1931 L1 0.3624 H0 0.3125 t1 6.9706e-04 t0 9.0660e-05 life 9.0660e-05 t0park inf lifepark 6.9706e-04  rbl 1.143 1.117 1.080 1.029 0.958 0.867 0.757 0.642 0.543 0.457 0.379 0.307 0.238 0.174 0.126 0.105 0.101 0.100 0.100
seed    46 vw1 0.8709 vw0 0.1987 L1 0.3304 H0 0.2791 t1 1.0458e-03 t0 5.6964e-05 life 5.6964e-05 t0park 2.2926e-04 lifepark 2.2926e-04  rbl 1.104 1.063 1.007 0.930 0.832 0.718 0.610 0.518 0.437 0.363 0.293 0.226 0.165 0.121 0.104 0.100 0.100 0.100 0.100
seed    47 vw1 0.8567 vw0 0.1930 L1 0.328 H0 0.2794 t1 1.0348e-03 t0 5.5500e-05 life 5.5500e-05 t0park 2.3234e-04 lifepark 2.3234e-04  rbl 1.106 1.066 1.010 0.934 0.836 0.720 0.606 0.510 0.427 0.351 0.280 0.214 0.154 0.116 0.102 0.100 0.100 0.100 0.100
seed    48 vw1 0.8303 vw0 0.1916 L1 0.3347 H0 0.2867 t1 1.3199e-03 t0 2.0111e-04 life 2.0111e-04 t0park inf lifepark 1.3199e-03  rbl 1.117 1.080 1.029 0.959 0.867 0.756 0.637 0.534 0.446 0.368 0.295 0.227 0.164 0.120 0.103 0.100 0.100 0.100 0.100
seed    49 vw1 0.8232 vw0 0.1929 L1 0.3453 H0 0.2938 t1 1.3074e-03 t0 3.1698e-04 life 3.1698e-04 t0park inf lifepark 1.3074e-03  rbl 1.124 1.090 1.043 0.979 0.893 0.786 0.671 0.570 0.484 0.406 0.334 0.266 0.201 0.145 0.111 0.102 0.100 0.100 0.100
seed    50 vw1 0.8217 vw0 0.1969 L1 0.3312 H0 0.2788 t1 1.4624e-03 t0 2.0720e-04 life 2.0720e-04 t0park inf lifepark 1.4624e-03  rbl 1.103 1.061 1.004 0.928 0.829 0.716 0.610 0.520 0.440 0.367 0.297 0.231 0.170 0.124 0.105 0.101 0.100 0.100 0.100
seed    51 vw1 0.9272 vw0 0.1978 L1 0.3686 H0 0.3168 t1 4.3358e-04 t0 4.1513e-05 life 4.1513e-05 t0park inf lifepark 4.3358e-04  rbl 1.147 1.122 1.088 1.039 0.973 0.885 0.776 0.663 0.564 0.478 0.402 0.330 0.262 0.198 0.142 0.110 0.101 0.100 0.100
seed    52 vw1 0.8402 vw0 0.1894 L1 0.337 H0 0.2849 t1 1.1053e-03 t0 9.5124e-05 life 9.5124e-05 t0park inf lifepark 1.1053e-03  rbl 1.111 1.073 1.020 0.948 0.855 0.743 0.634 0.540 0.457 0.381 0.311 0.243 0.180 0.130 0.106 0.101 0.100 0.100 0.100
seed    53 vw1 0.8515 vw0 0.1976 L1 0.3633 H0 0.3147 t1 1.0410e-03 t0 3.4461e-04 life 3.4461e-04 t0park inf lifepark 1.0410e-03  rbl 1.145 1.121 1.085 1.036 0.968 0.879 0.770 0.651 0.547 0.459 0.380 0.308 0.239 0.176 0.127 0.105 0.101 0.100 0.100
seed    54 vw1 0.8284 vw0 0.1921 L1 0.353 H0 0.2987 t1 1.2061e-03 t0 2.9762e-04 life 2.9762e-04 t0park inf lifepark 1.2061e-03  rbl 1.128 1.096 1.051 0.990 0.909 0.806 0.694 0.595 0.509 0.432 0.360 0.292 0.227 0.167 0.122 0.104 0.100 0.100 0.100
seed    55 vw1 0.8503 vw0 0.1942 L1 0.3433 H0 0.2906 t1 1.0911e-03 t0 1.1539e-04 life 1.1539e-04 t0park inf lifepark 1.0911e-03  rbl 1.119 1.083 1.034 0.967 0.878 0.769 0.658 0.561 0.478 0.402 0.331 0.263 0.199 0.144 0.111 0.102 0.100 0.100 0.100
seed    56 vw1 0.8264 vw0 0.1935 L1 0.3381 H0 0.2834 t1 1.2985e-03 t0 1.7600e-04 life 1.7600e-04 t0park inf lifepark 1.2985e-03  rbl 1.108 1.068 1.014 0.940 0.845 0.735 0.631 0.542 0.462 0.388 0.318 0.251 0.188 0.135 0.108 0.101 0.100 0.100 0.100
seed    57 vw1 0.8514 vw0 0.1915 L1 0.335 H0 0.2833 t1 1.1154e-03 t0 8.9868e-05 life 8.9868e-05 t0park inf lifepark 1.1154e-03  rbl 1.110 1.071 1.017 0.944 0.849 0.736 0.627 0.533 0.450 0.375 0.304 0.237 0.174 0.126 0.105 0.101 0.100 0.100 0.100
seed    58 vw1 0.8559 vw0 0.1960 L1 0.3283 H0 0.2719 t1 1.1684e-03 t0 5.8981e-05 life 5.8981e-05 t0park 1.8650e-04 lifepark 1.8650e-04  rbl 1.091 1.045 0.982 0.898 0.794 0.687 0.593 0.510 0.435 0.364 0.296 0.231 0.170 0.124 0.105 0.101 0.100 0.100 0.100
seed    59 vw1 0.8588 vw0 0.1983 L1 0.3332 H0 0.284 t1 1.1284e-03 t0 8.8400e-05 life 8.8400e-05 t0park inf lifepark 1.1284e-03  rbl 1.110 1.072 1.019 0.947 0.853 0.741 0.626 0.528 0.443 0.366 0.295 0.227 0.166 0.121 0.104 0.100 0.100 0.100 0.100
seed    60 vw1 0.8727 vw0 0.1916 L1 0.3714 H0 0.3204 t1 8.0736e-04 t0 1.9032e-04 life 1.9032e-04 t0park inf lifepark 8.0736e-04  rbl 1.149 1.126 1.093 1.047 0.983 0.899 0.794 0.679 0.576 0.487 0.409 0.336 0.267 0.202 0.145 0.112 0.102 0.100 0.100
seed    61 vw1 0.8502 vw0 0.1932 L1 0.3028 H0 0.2529 t1 1.3495e-03 t0 3.0614e-05 life 3.0614e-05 t0park 7.7550e-05 lifepark 7.7550e-05  rbl 1.062 1.005 0.928 0.828 0.713 0.603 0.509 0.427 0.352 0.281 0.214 0.154 0.115 0.102 0.100 0.100 0.100 0.100 0.100
seed    62 vw1 0.8116 vw0 0.1966 L1 0.3238 H0 0.2697 t1 1.5841e-03 t0 2.0031e-04 life 2.0031e-04 t0park inf lifepark 1.5841e-03  rbl 1.087 1.040 0.976 0.892 0.787 0.677 0.580 0.496 0.420 0.349 0.281 0.217 0.158 0.118 0.103 0.100 0.100 0.100 0.100
seed    63 vw1 0.8523 vw0 0.1945 L1 0.3393 H0 0.2906 t1 1.1119e-03 t0 1.2024e-04 life 1.2024e-04 t0park inf lifepark 1.1119e-03  rbl 1.120 1.085 1.036 0.969 0.881 0.773 0.655 0.551 0.462 0.383 0.309 0.240 0.176 0.127 0.105 0.101 0.100 0.100 0.100
seed    64 vw1 0.8613 vw0 0.1986 L1 0.3288 H0 0.2745 t1 1.1450e-03 t0 5.8968e-05 life 5.8968e-05 t0park 1.9074e-04 lifepark 1.9074e-04  rbl 1.096 1.052 0.992 0.911 0.809 0.698 0.598 0.512 0.435 0.363 0.295 0.230 0.170 0.124 0.105 0.101 0.100 0.100 0.100
seed    65 vw1 0.8395 vw0 0.1944 L1 0.3477 H0 0.2973 t1 1.1851e-03 t0 2.2307e-04 life 2.2307e-04 t0park inf lifepark 1.1851e-03  rbl 1.128 1.096 1.052 0.990 0.908 0.804 0.688 0.582 0.492 0.412 0.339 0.270 0.204 0.147 0.112 0.102 0.100 0.100 0.100
seed    66 vw1 0.8642 vw0 0.1942 L1 0.3397 H0 0.2896 t1 9.4782e-04 t0 7.0404e-05 life 7.0404e-05 t0park inf lifepark 9.4782e-04  rbl 1.117 1.081 1.032 0.964 0.875 0.767 0.652 0.551 0.464 0.387 0.315 0.246 0.183 0.132 0.107 0.101 0.100 0.100 0.100
seed    67 vw1 0.8227 vw0 0.1936 L1 0.3369 H0 0.2854 t1 1.3725e-03 t0 2.4532e-04 life 2.4532e-04 t0park inf lifepark 1.3725e-03  rbl 1.113 1.075 1.023 0.951 0.858 0.746 0.635 0.540 0.457 0.381 0.310 0.243 0.179 0.129 0.106 0.101 0.100 0.100 0.100
seed    68 vw1 0.8122 vw0 0.1917 L1 0.3434 H0 0.2948 t1 1.3517e-03 t0 4.4157e-04 life 4.4157e-04 t0park inf lifepark 1.3517e-03  rbl 1.127 1.094 1.049 0.985 0.900 0.794 0.675 0.567 0.476 0.396 0.322 0.252 0.187 0.134 0.107 0.101 0.100 0.100 0.100
seed    69 vw1 0.8699 vw0 0.1971 L1 0.367 H0 0.3161 t1 9.0152e-04 t0 2.1472e-04 life 2.1472e-04 t0park inf lifepark 9.0152e-04  rbl 1.145 1.120 1.086 1.037 0.970 0.882 0.774 0.659 0.559 0.473 0.395 0.324 0.256 0.192 0.138 0.109 0.101 0.100 0.100
seed    70 vw1 0.8509 vw0 0.1904 L1 0.3666 H0 0.3147 t1 9.4964e-04 t0 2.5460e-04 life 2.5460e-04 t0park inf lifepark 9.4964e-04  rbl 1.144 1.119 1.083 1.033 0.965 0.876 0.766 0.654 0.556 0.472 0.395 0.324 0.256 0.192 0.138 0.109 0.101 0.100 0.100
seed    71 vw1 0.8701 vw0 0.1935 L1 0.341 H0 0.2885 t1 9.4952e-04 t0 6.9449e-05 life 6.9449e-05 t0park inf lifepark 9.4952e-04  rbl 1.116 1.080 1.029 0.960 0.869 0.760 0.649 0.554 0.470 0.394 0.323 0.255 0.191 0.137 0.109 0.101 0.100 0.100 0.100
