# 2026-09-25T11:19:00+08:00 run mc-ls-tt85: mc.py  --env CORNER=mos_tt --env TEMP=85 --env NS=200 --env N0=1 --env JOBS=1 --env VLO=0.3 --env VBAR=0.1 --env SCAN=0.15:0.60:0.025   (commit 530b0ea)
mc: mos_tt_mismatch 85C VLO=0.3 VBAR=0.1 sense 10.0 ns, seeds 1..200, scan [0.15, 0.175, 0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6], TSTOP 50m
seed    40 vw1 0.7697 vw0 0.1910 L1 0.4382 H0 0.3946 t1 2.9423e-03 t0 inf life 2.9423e-03 t0park inf lifepark 2.9423e-03  rbl 1.187 1.180 1.169 1.154 1.131 1.097 1.049 0.984 0.899 0.795 0.673 0.553 0.452 0.366 0.289 0.218 0.155 0.115 0.102
seed    41 vw1 0.7403 vw0 0.1856 L1 0.4113 H0 0.3664 t1 3.4687e-03 t0 inf life 3.4687e-03 t0park inf lifepark 3.4687e-03  rbl 1.178 1.167 1.150 1.126 1.091 1.042 0.974 0.887 0.780 0.658 0.543 0.448 0.364 0.289 0.218 0.156 0.116 0.102 0.100
seed    42 vw1 0.7907 vw0 0.1916 L1 0.4021 H0 0.357 t1 3.2834e-03 t0 inf life 3.2834e-03 t0park inf lifepark 3.2834e-03  rbl 1.175 1.162 1.143 1.116 1.076 1.021 0.946 0.850 0.734 0.612 0.508 0.419 0.340 0.266 0.198 0.141 0.109 0.101 0.100
seed    43 vw1 0.7313 vw0 0.1846 L1 0.4276 H0 0.381 t1 3.2425e-03 t0 inf life 3.2425e-03 t0park inf lifepark 3.2425e-03  rbl 1.182 1.173 1.160 1.141 1.113 1.072 1.016 0.939 0.843 0.728 0.610 0.509 0.423 0.345 0.273 0.205 0.147 0.112 0.102
seed    44 vw1 0.7857 vw0 0.1865 L1 0.3932 H0 0.3476 t1 3.3004e-03 t0 inf life 3.3004e-03 t0park inf lifepark 3.3004e-03  rbl 1.169 1.154 1.133 1.101 1.056 0.994 0.912 0.809 0.688 0.571 0.473 0.389 0.312 0.241 0.176 0.126 0.105 0.101 0.100
seed    45 vw1 0.8111 vw0 0.1932 L1 0.4488 H0 0.4059 t1 2.3354e-03 t0 inf life 2.3354e-03 t0park inf lifepark 2.3354e-03  rbl 1.189 1.184 1.176 1.163 1.144 1.115 1.074 1.016 0.940 0.845 0.729 0.604 0.495 0.403 0.322 0.247 0.179 0.127 0.105
seed    46 vw1 0.7962 vw0 0.1967 L1 0.4162 H0 0.3717 t1 3.1183e-03 t0 inf life 3.1183e-03 t0park inf lifepark 3.1183e-03  rbl 1.180 1.170 1.155 1.133 1.101 1.056 0.992 0.909 0.805 0.684 0.564 0.465 0.380 0.303 0.232 0.167 0.121 0.104 0.100
seed    47 vw1 0.7836 vw0 0.1897 L1 0.4147 H0 0.3721 t1 3.0614e-03 t0 inf life 3.0614e-03 t0park inf lifepark 3.0614e-03  rbl 1.181 1.171 1.156 1.135 1.103 1.057 0.994 0.911 0.808 0.686 0.561 0.457 0.369 0.291 0.219 0.156 0.115 0.102 0.100
seed    48 vw1 0.7561 vw0 0.1862 L1 0.4216 H0 0.38 t1 3.2269e-03 t0 inf life 3.2269e-03 t0park inf lifepark 3.2269e-03  rbl 1.183 1.175 1.162 1.143 1.115 1.074 1.016 0.939 0.842 0.726 0.597 0.485 0.391 0.309 0.234 0.168 0.121 0.103 0.100
seed    49 vw1 0.7484 vw0 0.1873 L1 0.4306 H0 0.3863 t1 3.1552e-03 t0 inf life 3.1552e-03 t0park inf lifepark 3.1552e-03  rbl 1.185 1.177 1.165 1.148 1.123 1.085 1.032 0.960 0.868 0.756 0.632 0.521 0.428 0.347 0.273 0.204 0.145 0.111 0.102
seed    50 vw1 0.7465 vw0 0.1897 L1 0.4163 H0 0.3708 t1 3.4759e-03 t0 inf life 3.4759e-03 t0park inf lifepark 3.4759e-03  rbl 1.179 1.169 1.154 1.131 1.099 1.053 0.989 0.905 0.801 0.680 0.563 0.466 0.382 0.307 0.236 0.172 0.124 0.104 0.100
seed    51 vw1 0.8525 vw0 0.1992 L1 0.4541 H0 0.4095 t1 1.8327e-03 t0 inf life 1.8327e-03 t0park inf lifepark 1.8327e-03  rbl 1.190 1.185 1.177 1.166 1.148 1.122 1.083 1.028 0.955 0.861 0.747 0.623 0.515 0.424 0.344 0.271 0.202 0.144 0.110
seed    52 vw1 0.7675 vw0 0.1853 L1 0.422 H0 0.3772 t1 3.0468e-03 t0 inf life 3.0468e-03 t0park inf lifepark 3.0468e-03  rbl 1.181 1.172 1.159 1.138 1.109 1.066 1.007 0.927 0.828 0.710 0.590 0.488 0.400 0.322 0.250 0.183 0.130 0.106 0.101
seed    53 vw1 0.7763 vw0 0.1952 L1 0.4501 H0 0.4084 t1 2.7794e-03 t0 inf life 2.7794e-03 t0park inf lifepark 2.7794e-03  rbl 1.190 1.185 1.177 1.165 1.147 1.120 1.081 1.025 0.951 0.857 0.743 0.615 0.500 0.406 0.323 0.249 0.181 0.128 0.105
seed    54 vw1 0.7541 vw0 0.1873 L1 0.4374 H0 0.3905 t1 3.0125e-03 t0 inf life 3.0125e-03 t0park inf lifepark 3.0125e-03  rbl 1.185 1.177 1.167 1.150 1.126 1.092 1.042 0.973 0.884 0.775 0.654 0.545 0.454 0.374 0.300 0.231 0.167 0.122 0.104
seed    55 vw1 0.7761 vw0 0.1914 L1 0.428 H0 0.3829 t1 3.0451e-03 t0 inf life 3.0451e-03 t0park inf lifepark 3.0451e-03  rbl 1.184 1.175 1.163 1.144 1.117 1.078 1.023 0.948 0.853 0.739 0.616 0.511 0.422 0.343 0.270 0.202 0.144 0.111 0.102
seed    56 vw1 0.7522 vw0 0.1874 L1 0.4223 H0 0.375 t1 3.2233e-03 t0 inf life 3.2233e-03 t0park inf lifepark 3.2233e-03  rbl 1.181 1.171 1.157 1.136 1.105 1.061 0.999 0.918 0.818 0.700 0.586 0.490 0.406 0.329 0.258 0.191 0.136 0.108 0.101
seed    57 vw1 0.7779 vw0 0.1884 L1 0.42 H0 0.3753 t1 3.0901e-03 t0 inf life 3.0901e-03 t0park inf lifepark 3.0901e-03  rbl 1.181 1.172 1.158 1.137 1.107 1.063 1.002 0.922 0.821 0.701 0.581 0.480 0.393 0.315 0.243 0.177 0.126 0.105 0.101
seed    58 vw1 0.7811 vw0 0.1932 L1 0.4119 H0 0.363 t1 3.3126e-03 t0 inf life 3.3126e-03 t0park inf lifepark 3.3126e-03  rbl 1.176 1.164 1.147 1.122 1.085 1.033 0.963 0.872 0.761 0.644 0.542 0.454 0.376 0.304 0.235 0.171 0.124 0.105 0.101
seed    59 vw1 0.7841 vw0 0.1952 L1 0.4199 H0 0.3772 t1 3.1539e-03 t0 inf life 3.1539e-03 t0park inf lifepark 3.1539e-03  rbl 1.181 1.172 1.158 1.138 1.108 1.065 1.005 0.927 0.828 0.711 0.586 0.478 0.388 0.308 0.235 0.169 0.122 0.104 0.100
seed    60 vw1 0.7983 vw0 0.1919 L1 0.4574 H0 0.4132 t1 2.4609e-03 t0 inf life 2.4609e-03 t0park inf lifepark 2.4609e-03  rbl 1.191 1.186 1.179 1.167 1.151 1.126 1.089 1.036 0.966 0.875 0.766 0.641 0.528 0.433 0.351 0.276 0.206 0.146 0.112
seed    61 vw1 0.7766 vw0 0.1884 L1 0.3891 H0 0.3455 t1 3.5615e-03 t0 inf life 3.5615e-03 t0park inf lifepark 3.5615e-03  rbl 1.169 1.154 1.132 1.100 1.053 0.989 0.905 0.801 0.678 0.557 0.456 0.370 0.292 0.220 0.156 0.116 0.102 0.100 0.100
seed    62 vw1 0.7369 vw0 0.1871 L1 0.4081 H0 0.3613 t1 3.6357e-03 t0 inf life 3.6357e-03 t0park inf lifepark 3.6357e-03  rbl 1.175 1.162 1.144 1.118 1.081 1.028 0.957 0.865 0.754 0.634 0.529 0.440 0.361 0.288 0.219 0.158 0.117 0.103 0.100
seed    63 vw1 0.7780 vw0 0.1915 L1 0.4259 H0 0.3839 t1 3.0452e-03 t0 inf life 3.0452e-03 t0park inf lifepark 3.0452e-03  rbl 1.184 1.176 1.164 1.145 1.118 1.079 1.024 0.950 0.858 0.745 0.618 0.503 0.408 0.325 0.249 0.181 0.128 0.106 0.101
seed    64 vw1 0.7863 vw0 0.1962 L1 0.4132 H0 0.3663 t1 3.3121e-03 t0 inf life 3.3121e-03 t0park inf lifepark 3.3121e-03  rbl 1.177 1.166 1.150 1.126 1.091 1.042 0.975 0.887 0.779 0.658 0.548 0.457 0.376 0.303 0.234 0.170 0.123 0.104 0.100
seed    65 vw1 0.7649 vw0 0.1905 L1 0.4338 H0 0.3901 t1 3.0492e-03 t0 inf life 3.0492e-03 t0park inf lifepark 3.0492e-03  rbl 1.186 1.179 1.168 1.151 1.127 1.092 1.041 0.973 0.884 0.776 0.651 0.534 0.438 0.354 0.279 0.209 0.148 0.112 0.102
seed    66 vw1 0.7904 vw0 0.1923 L1 0.4253 H0 0.3823 t1 2.8974e-03 t0 inf life 2.8974e-03 t0park inf lifepark 2.8974e-03  rbl 1.183 1.175 1.162 1.143 1.115 1.075 1.018 0.944 0.850 0.736 0.612 0.501 0.409 0.328 0.254 0.186 0.132 0.107 0.101
seed    67 vw1 0.7481 vw0 0.1869 L1 0.4222 H0 0.3779 t1 3.2805e-03 t0 inf life 3.2805e-03 t0park inf lifepark 3.2805e-03  rbl 1.182 1.173 1.160 1.140 1.111 1.069 1.010 0.931 0.832 0.714 0.592 0.488 0.400 0.322 0.249 0.182 0.130 0.106 0.101
