# 2026-09-25T11:08:13+08:00 run mc-base-ff85: mc.py  --env CORNER=mos_ff --env TEMP=85 --env NS=200 --env N0=1 --env JOBS=2 --env TSTOP=2m --env SCAN=0.05:0.40:0.025   (commit 162c494)
mc: mos_ff_mismatch 85C VLO=0.0 VBAR=0.0 sense 10.0 ns, seeds 1..200, scan [0.05, 0.075, 0.1, 0.125, 0.15, 0.175, 0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4], TSTOP 2m
seed    32 vw1 0.8743 vw0 -0.0282 L1 0.1886 H0 0.1399 t1 7.7503e-07 t0 1.0247e-06 life 7.7503e-07  rbl 1.057 0.988 0.891 0.771 0.651 0.548 0.460 0.380 0.306 0.236 0.169 0.104 0.047 0.012 0.002
seed    33 vw1 0.8466 vw0 -0.0340 L1 0.199 H0 0.1486 t1 1.3127e-06 t0 2.7861e-06 life 1.3127e-06  rbl 1.089 1.032 0.945 0.823 0.693 0.586 0.496 0.416 0.341 0.271 0.203 0.137 0.075 0.027 0.005
seed    34 vw1 0.8493 vw0 -0.0343 L1 0.1915 H0 0.1443 t1 1.2468e-06 t0 2.2344e-06 life 1.2468e-06  rbl 1.066 1.001 0.909 0.795 0.672 0.562 0.468 0.385 0.309 0.237 0.169 0.103 0.045 0.011 0.002
seed    35 vw1 0.8773 vw0 -0.0267 L1 0.2367 H0 0.1863 t1 5.3953e-07 t0 3.4262e-06 life 5.3953e-07  rbl 1.142 1.116 1.074 1.006 0.897 0.754 0.634 0.539 0.456 0.380 0.308 0.240 0.175 0.111 0.054
seed    36 vw1 0.8904 vw0 -0.0250 L1 0.21 H0 0.1577 t1 4.3838e-07 t0 1.0306e-06 life 4.3838e-07  rbl 1.104 1.056 0.981 0.867 0.734 0.624 0.533 0.451 0.375 0.304 0.236 0.169 0.105 0.047 0.012
seed    37 vw1 0.8339 vw0 -0.0386 L1 0.1995 H0 0.1529 t1 1.2951e-06 t0 2.8180e-06 life 1.2951e-06  rbl 1.083 1.026 0.943 0.835 0.714 0.597 0.498 0.411 0.333 0.259 0.189 0.122 0.061 0.018 0.003
seed    38 vw1 0.8256 vw0 -0.0399 L1 0.21 H0 0.1628 t1 1.7620e-06 t0 5.8253e-06 life 1.7620e-06  rbl 1.106 1.059 0.988 0.886 0.762 0.640 0.536 0.446 0.366 0.292 0.222 0.154 0.090 0.037 0.008
seed    39 vw1 0.8271 vw0 -0.0397 L1 0.1654 H0 0.1157 t1 2.0901e-06 t0 1.6855e-06 life 1.6855e-06  rbl 0.990 0.895 0.775 0.656 0.554 0.466 0.387 0.313 0.243 0.175 0.110 0.051 0.014 0.002 0.000
seed    40 vw1 0.8453 vw0 -0.0349 L1 0.2037 H0 0.1554 t1 1.3078e-06 t0 3.2335e-06 life 1.3078e-06  rbl 1.092 1.040 0.961 0.851 0.725 0.610 0.513 0.428 0.350 0.278 0.209 0.143 0.080 0.030 0.006
seed    41 vw1 0.8158 vw0 -0.0426 L1 0.1764 H0 0.1269 t1 2.4838e-06 t0 2.8196e-06 life 2.4838e-06  rbl 1.027 0.945 0.833 0.708 0.598 0.505 0.422 0.346 0.274 0.206 0.139 0.077 0.028 0.006 0.001
seed    42 vw1 0.8658 vw0 -0.0309 L1 0.1728 H0 0.1223 t1 8.8115e-07 t0 7.7719e-07 life 7.7719e-07  rbl 1.017 0.929 0.811 0.687 0.582 0.492 0.412 0.337 0.266 0.198 0.132 0.071 0.024 0.004 0.000
seed    43 vw1 0.8077 vw0 -0.0446 L1 0.1947 H0 0.1443 t1 2.9671e-06 t0 6.0887e-06 life 2.9671e-06  rbl 1.082 1.022 0.931 0.801 0.670 0.568 0.481 0.403 0.330 0.261 0.194 0.129 0.069 0.023 0.004
seed    44 vw1 0.8593 vw0 -0.0327 L1 0.1647 H0 0.1141 t1 8.5917e-07 t0 5.6075e-07 life 5.6075e-07  rbl 0.984 0.886 0.766 0.649 0.550 0.464 0.386 0.313 0.244 0.177 0.112 0.054 0.015 0.002 0.000
