kernel,loc,width,value,t_def,t_last
linebuf,L142.w5,32,3223856108,443007,454400
linebuf,L142.w6,32,724121074,443167,454400
linebuf,L142.w7,32,4180885364,443327,454400
linebuf,L142.w8,32,995218293,443487,454400
linebuf,L142.w9,32,1012481663,443647,454400
linebuf,L142.w10,32,3522517423,443807,454400
linebuf,L142.w11,32,1218231039,443967,454400
linebuf,L143.w0,32,1986747964,444127,457600
linebuf,L143.w1,32,2349430891,444287,457600
linebuf,L143.w2,32,2490792181,444447,457600
linebuf,L143.w3,32,1673291265,444607,457600
linebuf,L143.w4,32,910133698,444767,457600
linebuf,L143.w5,32,1940023440,444927,457600
linebuf,L143.w6,32,3070622707,445087,457600
linebuf,L143.w7,32,1107564393,445247,457600
linebuf,L143.w8,32,1417842847,445407,457600
linebuf,L143.w9,32,2131733819,445567,457600
linebuf,L143.w10,32,2549572427,445727,457600
linebuf,L143.w11,32,476507858,445887,457600
linebuf,L144.w0,32,3906217198,446047,460800
linebuf,L144.w1,32,918468867,446207,460800
linebuf,L144.w2,32,4270887171,446367,460800
linebuf,L144.w3,32,338668373,446527,460800
linebuf,L144.w4,32,198504593,446687,460800
linebuf,L144.w5,32,66193297,446847,460800
linebuf,L144.w6,32,3424990388,447007,460800
linebuf,L144.w7,32,22451568,447167,460800
linebuf,L144.w8,32,3683311649,447327,460800
linebuf,L144.w9,32,2063295586,447487,460800
linebuf,L144.w10,32,1372561742,447647,460800
linebuf,L144.w11,32,3817494954,447807,460800
linebuf,L145.w0,32,2492170929,450687,464000
linebuf,L145.w1,32,1233580966,450847,464000
linebuf,L145.w2,32,3946388742,451007,464000
linebuf,L145.w3,32,841316587,451167,464000
linebuf,L145.w4,32,1717680247,451327,464000
linebuf,L145.w5,32,687486490,451487,464000
linebuf,L145.w6,32,3779700791,451647,464000
linebuf,L145.w7,32,3540014640,451807,464000
linebuf,L145.w8,32,3257992665,451967,464000
linebuf,L145.w9,32,2774739477,452127,464000
linebuf,L145.w10,32,654007894,452287,464000
linebuf,L145.w11,32,3409055160,452447,464000
linebuf,L146.w0,32,3924225404,452607,467200
linebuf,L146.w1,32,130810916,452767,467200
linebuf,L146.w2,32,65202116,452927,467200
linebuf,L146.w3,32,1663319635,453087,467200
linebuf,L146.w4,32,623535832,453247,467200
linebuf,L146.w5,32,3763711772,453407,467200
linebuf,L146.w6,32,2855342422,453567,467200
linebuf,L146.w7,32,2330344113,453727,467200
linebuf,L146.w8,32,245327183,453887,467200
linebuf,L146.w9,32,2425557485,454047,467200
linebuf,L146.w10,32,1629896669,454207,467200
linebuf,L146.w11,32,1091646106,454367,467200
linebuf,L147.w0,32,558254957,454527,470400
linebuf,L147.w1,32,341529144,454687,470400
linebuf,L147.w2,32,1988094291,454847,470400
linebuf,L147.w3,32,2800979518,455007,470400
linebuf,L147.w4,32,3607688096,455167,470400
linebuf,L147.w5,32,1303099757,455327,470400
linebuf,L147.w6,32,3891602675,455487,470400
linebuf,L147.w7,32,62025776,455647,470400
linebuf,L147.w8,32,152340941,455807,470400
linebuf,L147.w9,32,2306314167,455967,470400
linebuf,L147.w10,32,261356293,456127,470400
linebuf,L147.w11,32,2254444877,456287,470400
linebuf,L148.w0,32,183888082,459167,473600
linebuf,L148.w1,32,4008839237,459327,473600
linebuf,L148.w2,32,1175061228,459487,473600
linebuf,L148.w3,32,3353483334,459647,473600
linebuf,L148.w4,32,504386875,459807,473600
linebuf,L148.w5,32,1857615967,459967,473600
linebuf,L148.w6,32,391003979,460127,473600
linebuf,L148.w7,32,816520238,460287,473600
linebuf,L148.w8,32,118639407,460447,473600
linebuf,L148.w9,32,2146032160,460607,473600
linebuf,L148.w10,32,2738097558,460767,473600
linebuf,L148.w11,32,559684619,460927,473600
linebuf,L149.w0,32,3198093923,461087,476800
linebuf,L149.w1,32,1199458944,461247,476800
linebuf,L149.w2,32,2949660601,461407,476800
linebuf,L149.w3,32,3509580991,461567,476800
linebuf,L149.w4,32,3631922175,461727,476800
linebuf,L149.w5,32,824318160,461887,476800
linebuf,L149.w6,32,2847632843,462047,476800
linebuf,L149.w7,32,1922059544,462207,476800
linebuf,L149.w8,32,1673757052,462367,476800
linebuf,L149.w9,32,1416501627,462527,476800
linebuf,L149.w10,32,2710395064,462687,476800
linebuf,L149.w11,32,1150935983,462847,476800
linebuf,L150.w0,32,4164378003,463007,480000
linebuf,L150.w1,32,1116016040,463167,480000
linebuf,L150.w2,32,2755665323,463327,480000
linebuf,L150.w3,32,2729917030,463487,480000
linebuf,L150.w4,32,1044071056,463647,480000
linebuf,L150.w5,32,1054096051,463807,480000
linebuf,L150.w6,32,258488709,463967,480000
linebuf,L150.w7,32,2525118703,464127,480000
linebuf,L150.w8,32,4016507369,464287,480000
linebuf,L150.w9,32,3384280431,464447,480000
linebuf,L150.w10,32,2536158859,464607,480000
linebuf,L150.w11,32,752806993,464767,480000
linebuf,L151.w0,32,2599970271,468463,483200
linebuf,L151.w1,32,2998129186,468623,483200
linebuf,L151.w2,32,2406288042,468783,483200
linebuf,L151.w3,32,2741826233,468943,483200
linebuf,L151.w4,32,2242710681,469103,483200
linebuf,L151.w5,32,4162434896,469263,483200
linebuf,L151.w6,32,261153948,469423,483200
linebuf,L151.w7,32,3887147261,469583,483200
linebuf,L151.w8,32,1517100796,469743,483200
linebuf,L151.w9,32,2349028542,469903,483200
