2026-09-25 05:08:11 +0000: Memory Usage (415016K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/in.gds
2026-09-25 05:08:11 +0000: Memory Usage (415016K) : Ruby Version for klayout: 3.3.8
2026-09-25 05:08:11 +0000: Memory Usage (415844K) : Loading database to memory is complete.
2026-09-25 05:08:11 +0000: Memory Usage (415844K) : IHP-SG13G2 KLayout DRC runset output at: /work/report.lyrdb
2026-09-25 05:08:11 +0000: Memory Usage (415844K) : Evaluate switches.
2026-09-25 05:08:11 +0000: Memory Usage (415844K) : tables selected: main
2026-09-25 05:08:11 +0000: Memory Usage (415844K) : KLayout will use 32 thread(s) in tiling mode.
2026-09-25 05:08:11 +0000: Memory Usage (415844K) : deep mode is enabled.
2026-09-25 05:08:11 +0000: Memory Usage (418200K) : metal3_iprobe has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (418456K) : metal3_diffprb has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (418456K) : nwell_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (418456K) : nwell_pin has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (418456K) : nbulay_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (418456K) : nbulay_pin has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (418712K) : nbulay_block has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (418712K) : emwind_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (418712K) : emwind_opc has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (418712K) : deepco_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (418968K) : deepco_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (418968K) : mim_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (418968K) : edgeseal_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (418968K) : edgeseal_bound has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (418968K) : substrate_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (418968K) : substrate_text has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (419224K) : dfpad_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (419224K) : dfpad_pillar has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (419224K) : dfpad_sbump has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (419224K) : thickgateox_drw has 40 polygons
2026-09-25 05:08:11 +0000: Memory Usage (419224K) : pldb_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (419480K) : pwell_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (419480K) : pwell_pin has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (419480K) : pwell_block has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (419480K) : ic_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (419480K) : via3_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (419736K) : metal4_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (419736K) : metal4_pin has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (419736K) : metal4_mask has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (419736K) : metal4_filler has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (419736K) : metal4_nofill has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (419992K) : metal4_slit has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (419992K) : metal4_text has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (419992K) : metal4_opc has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (419992K) : metal4_noqrc has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (419992K) : metal4_res has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (419992K) : metal4_iprobe has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (419992K) : metal4_diffprb has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (420248K) : heattrans_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (420248K) : heatres_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (420248K) : pempoly_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (420248K) : fbe_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (420504K) : empoly_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (420504K) : ldmos_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (420504K) : pbiwind_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (420504K) : digisub_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (420504K) : nodrc_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (420760K) : text_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (420760K) : via4_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (420760K) : metal5_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (420760K) : metal5_pin has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (420760K) : metal5_mask has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421016K) : metal5_filler has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421016K) : metal5_nofill has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421016K) : metal5_slit has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421016K) : metal5_text has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421016K) : metal5_opc has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421272K) : metal5_noqrc has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421272K) : metal5_res has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421272K) : metal5_iprobe has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421272K) : metal5_diffprb has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421272K) : radhard_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : memcap_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : varicap_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : flash_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : intbondvia_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : intbondmet_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : devbondvia_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : devbondmet_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : devtrench_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : redist_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : graphbot_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : graphtop_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : antvia1_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : antmetal2_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : graphcont_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : siwg_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : siwg_filler has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : siwg_nofill has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : sigrating_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : singrating_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : graphpas_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : emwind3_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : emwihv3_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : redbulay_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : smos_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : graphpad_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : polimide_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : polimide_pin has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : recog_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : recog_pin has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : recog_esd has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : recog_diode has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : recog_tsv has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : recog_iprobe has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : recog_diffprb has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : recog_pillar has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : recog_sbump has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : recog_otp has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : recog_pdiode has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : recog_mom has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : recog_momf has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : recog_pcm has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : colopen_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : graphmetal1_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : graphmetal1_filler has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : graphmetal1_nofill has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : graphmetal1_slit has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : graphmetal1_opc has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : graphmet1l_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : graphmet1l_filler has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : graphmet1l_nofill has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : graphmet1l_slit has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : graphmet1l_opc has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : extblock_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : nldd_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : pldd_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : next_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : pext_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : nexthv_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : pexthv_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : graphgate_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : sinwg_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : sinwg_filler has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : sinwg_nofill has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : mempad_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : topvia1_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : topmetal1_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : topmetal1_pin has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : topmetal1_mask has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : topmetal1_filler has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421528K) : topmetal1_nofill has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421784K) : topmetal1_slit has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421784K) : topmetal1_text has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421784K) : topmetal1_noqrc has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421784K) : topmetal1_res has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421784K) : topmetal1_iprobe has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (421784K) : topmetal1_diffprb has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (422040K) : inldpwl_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (422040K) : polyres_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (422040K) : polyres_pin has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (422040K) : vmim_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (422040K) : nbulaycut_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (422296K) : antmetal1_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (422296K) : topvia2_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (422296K) : topmetal2_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (422296K) : topmetal2_pin has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (422296K) : topmetal2_mask has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (422552K) : topmetal2_filler has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (422552K) : topmetal2_nofill has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (422552K) : topmetal2_slit has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (422552K) : topmetal2_text has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (422552K) : topmetal2_noqrc has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (422552K) : topmetal2_res has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (422808K) : topmetal2_iprobe has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (422808K) : topmetal2_diffprb has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (422808K) : snsring_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (422808K) : sensor_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (422808K) : snsarms_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423064K) : snscmosvia_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423064K) : colwind_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423064K) : flm_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423064K) : hafniumox_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423064K) : memvia_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : thinfilmres_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : rfmem_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : norcx_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : norcx_m2m3 has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : norcx_m2m4 has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : norcx_m2m5 has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : norcx_m2tm1 has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : norcx_m2tm2 has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : norcx_m3m4 has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : norcx_m3m5 has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : norcx_m3tm1 has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : norcx_m3tm2 has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : norcx_m4m5 has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : norcx_m4tm1 has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : norcx_m4tm2 has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : norcx_m5tm1 has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : norcx_m5tm2 has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : norcx_tm1tm2 has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : norcx_m1sub has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : norcx_m2sub has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : norcx_m3sub has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : norcx_m4sub has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : norcx_m5sub has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : norcx_tm1sub has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : norcx_tm2sub has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : snsbotvia_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : snstopvia_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : deepvia_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : fgetch_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : ctrgat_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : fgimp_drw has 0 polygons
2026-09-25 05:08:11 +0000: Memory Usage (423320K) : emwihv_drw has 0 polygons
2026-09-25 05:08:12 +0000: Memory Usage (423320K) : lbe_drw has 0 polygons
2026-09-25 05:08:12 +0000: Memory Usage (423320K) : alcustop_drw has 0 polygons
2026-09-25 05:08:12 +0000: Memory Usage (423320K) : nometfiller_drw has 0 polygons
2026-09-25 05:08:12 +0000: Memory Usage (423320K) : prboundary_drw has 0 polygons
2026-09-25 05:08:12 +0000: Memory Usage (423320K) : exchange0_drw has 0 polygons
2026-09-25 05:08:12 +0000: Memory Usage (423320K) : exchange0_pin has 0 polygons
2026-09-25 05:08:12 +0000: Memory Usage (423320K) : exchange0_text has 0 polygons
